# Dataset: ../dataset/CRC__ThomasAM_2019_c/ThomasAM_2019_c__species.pkl
# Dimensionality: 10000
# Number of levels: 1000
# Max retraining iterations: 10
# Accuracy threshold (stop condition): 50.0
# Accuracy uncertainty (percentage): 5.0
# Run ID	Group Size	Retraining	Accuracy
3801e53996ab6ab0e2c284bf88c5707e	480	1	93.75
6fb5a4e729702ee6f141c47f010ea67b	480	1	93.75
62f63006885fffb92e1a6451e9e8396d	480	1	93.75
a37fa9674c699e021f1ed45ba661e42e	480	1	93.75
7b2c8695da8e43506cfcafe4d86689dd	480	1	93.75
2330dfdf12af57bb0ff00cda1c85dea9	480	1	93.75
f239212349f7b266cd987db2bea7f926	480	1	93.75
3873371460b10cf9a69b6b91b5997235	480	1	93.75
d91a2ad03a4f6cdcefc0cff18b60dde9	480	1	93.75
c26ca1a15d7a61a0a70f03bdfb47fc38	480	1	93.75
257c5ada91c1998517643428422ff2e8	480	1	93.75
0542d96228cf907f7ec09e1835bd0708	480	1	93.75
20f2257907d7e21c35f81b7acc9672e7	480	1	93.75
29cc7fc7ccad1dff876fdc4376fb1ba1	480	1	93.75
fea97680894b1f5317ad697ff0187644	480	1	93.75
64e7f7df7b055fd8dea6c696141e6826	480	1	93.75
7d7d1e4409670d050f7d0f0c12cf9c72	480	1	93.75
2017be0369cc86a3186772b322991f6d	480	1	93.75
f72eeccc0a0c3e9b7bc8333df363f95c	480	1	93.75
4bb0111432b7502f121c59701956fe74	480	1	93.75
3055423c083d4cd3151dea46acc217ca	480	1	93.75
72706c8b451a5124fef494f02511e9db	480	1	93.75
49a9142d87baf924a8d2cd12d11b725b	480	1	93.75
bffbda8c1bc160b6588f3d8c39d76ddf	480	1	93.75
f77995dc7e64f890e2719559098e2dbd	480	1	93.75
5c021775b13cfdae73c6ea8677a351b1	480	1	93.75
b259cf6f24e137c4ae6cff6564f39f6c	480	1	93.75
2ad8abdd678b6105ceb6bf471b36ced2	480	1	93.75
cb793af4980b4445d53645a5fb75b42d	480	1	93.75
3176a773703238bc860588afd7047756	480	1	93.75
1a9a2da6556fc7f6b33f2a6f6e4e8581	480	1	93.75
f6a64b46214e80b5d3b4fa824d89c0f4	386	2	93.75
2b53637c5f2f12aad2c1a8f189383255	386	2	93.75
f529953b28675095eb32ffaa25492e77	386	1	93.75
5aef2c3cb8a05e322413d5524c01dea4	386	1	93.75
843956f0aa3faa0de67123c254e0bc6f	386	1	93.75
4a049e0316e282bfa5a9c0dab6f77a12	386	1	93.75
d34d2a5e489de27ae0d03a18eea5f4c8	386	1	93.75
596dec9e6a2189a07ec44e6ba75c0d56	386	1	93.75
42e9cebf86977486e00e5fc212322e4f	386	1	93.75
dc43a6b1b86fd9f2a128333e1bc0cbca	386	1	93.75
03b8b3298523e08a02a7326ff6a43206	386	4	93.75
98c15e6ff59bc8455770d3c0b0039c0c	386	2	93.75
